"wikidata_code","birth","death","updated_death_date","approx_birth","approx_death","birth_min","birth_max","death_min","death_max","gender","level1_main_occ","name","un_subregion","birth_estimation","death_estimation","bigperiod_birth_graph_b","bigperiod_death_graph_b","curid","level2_main_occ","freq_main_occ","freq_second_occ","level2_second_occ","level3_main_occ","bigperiod_birth","bigperiod_death","wiki_readers_2015_2018","non_missing_score","total_count_words_b","number_wiki_editions","total_noccur_links_b","sum_visib_ln_5criteria","ranking_visib_5criteria","all_geography_groups","string_citizenship_raw_d","citizenship_1_b","citizenship_2_b","list_areas_of_rattach","area1_of_rattachment","area2_of_rattachment","list_wikipedia_editions","un_region","group_wikipedia_editions","bplo1","dplo1","bpla1","dpla1","pantheon_1","level3_all_occ","mid_point"
"Q1001038",NA,-22,NA,"","",NA,NA,-22,-22,"Male","Discovery/Science","Elulumeš","",-84,-22,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",7047076,"Academia",0.5,0.5,"Nobility","archäologisch","Missing","1.Ancient History Before 500AD",947,2,1013,1,0,14.184637,2692306,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_ könig_archäologisch_German",-53
"Q1010365",1177,1230,NA,"circa","",1177,1177,1230,1230,"Male","Discovery/Science","Burchard_von_Ursberg","Western Europe",1177,1230,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",1304750,"Academia",0.66666669,0.33333334,"Worker/Business (small)","historian","2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",4934,3,1697,2,15,19.813124,601806,"Germany","'Bavaria'","Germany","","D:_'Germany'_can't_verifyB1","Old_(before_year_1990_AD)_Germany","Missing","ruwiki|dewiki","Europe","grB",9.78861141204834,10.4444675445557,48.0980567932129,48.2663269042969,0,"D:_historian_P:_schreiber_German",1203.5
"Q1022327",NA,1225,NA,"century","circa",1101,1200,1225,1225,"Male","Discovery/Science","Urso_of_Calabria","Southern Europe",1155.7039,1225,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",15345630,"Academia",0.60000002,0.40000001,"Culture-core","academic","Missing","2.Post-Classical History 501-1500AD",2520,3,3100,3,8,19.456598,539551.5,"","","Italy","","P:_'Italy'_can't_verifyB1","Old_(before_year_1861_AD)_Italy","Missing","dewiki|enwiki|scnwiki","Europe","grA",NA,NA,NA,NA,0,"D:_academic_writer_P:_philosopher_author_medical_English_arzt_philosoph_autor_German",1190.35195
"Q1025379",NA,NA,NA,"century","century",301,500,401,500,"Male","Discovery/Science","Caelestius","Southern Europe",401,456.59497,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",3314968,"Academia",0.80000001,0.2,"Religious","theologian","Missing","Missing",17276,3,7395,7,6,22.691351,232179,"Roman_Empire","'Ancient_Rome'","Roman_Empire","","D:_'Ancient_Rome'_mismatchB1_P:_'Italy'","Roman_Empire","Missing","frwiki|enwiki|nlwiki|ptwiki|rowiki|dewiki|plwiki","Europe","grA",14.9205551147461,28.9760189056396,40.9105567932129,41.0122413635254,0,"D:_theologian_P:_teacher_English_prêtre_French_theologe_German",428.797485
"Q10261",NA,-495,NA,"","",NA,NA,-495,-495,"Male","Discovery/Science","Pythagoras","Southern Europe",-563,-495,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",23275,"Academia",0.54838711,0.19354838,"Culture-core","mathematician","Missing","1.Ancient History Before 500AD",17090536,2,92293,134,50,36.636189,2078,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","afwiki|amwiki|arwiki|arzwiki|azwiki|bawiki|bat_smgwiki|bewiki|bgwiki|bnwiki|bowiki|bpywiki|bswiki|cawiki|cswiki|cvwiki|cywiki|dawiki|elwiki|eowiki|eswiki|etwiki|euwiki|fiwiki|fiu_vrowiki|frwiki|fywiki|gawiki|ganwiki|glwiki|guwiki|hewiki|hrwiki|huwiki|hywiki|iawiki|idwiki|iowiki|iswiki|itwiki|jawiki|jvwiki|kawiki|kkwiki|knwiki|kowiki|kuwiki|kywiki|lawiki|lbwiki|lijwiki|ltwiki|lvwiki|mkwiki|mlwiki|mnwiki|mrwiki|mrjwiki|mswiki|mywiki|nlwiki|nnwiki|nowiki|ocwiki|oswiki|plwiki|pmswiki|pnbwiki|ptwiki|quwiki|rowiki|ruwiki|sawiki|scnwiki|shwiki|simplewiki|slwiki|sqwiki|srwiki|svwiki|swwiki|szlwiki|tewiki|thwiki|tlwiki|trwiki|ttwiki|ukwiki|urwiki|viwiki|vowiki|warwiki|xalwiki|yiwiki|yowiki|zh_yuewiki|be_x_oldwiki|ckbwiki|tkwiki|pawiki|alswiki|zhwiki|anwiki|mwlwiki|uzwiki|scowiki|aswiki|dewiki|cowiki|hiwiki|brwiki|maiwiki|bhwiki|siwiki|jamwiki|sdwiki|hakwiki|zh_min_nanwiki|lgwiki|fawiki|biwiki|tawiki|gdwiki|kbpwiki|newiki|astwiki|skwiki|omwiki|enwiki|lfnwiki|mgwiki|tgwiki|hawiki|frrwiki","Europe","grA",26.8332996368408,16.816764831543,37.75,40.4160766601562,1,"D:_mathematician_philosopher_politician_writer_music_music_P:_philosopher_political_religious_English_réformateur_religieux_philosophe_French_filosofo_matematico_astronomo_Italian_philosoph_religiös_politisch_German_filosof_filosofía_filósof_Spanish_filósof_matemátic_Portuguese_filosof_matematiker_Swedish",-529
"Q10281611",NA,1230,NA,"","",NA,NA,1230,1230,"Male","Discovery/Science","Fernão_Guterres_de_Castro","Southern Europe",1164,1230,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",2583525,"Academia",0.33333334,0.33333334,"Family","astro","Missing","2.Post-Classical History 501-1500AD",468,2,2246,1,0,14.279796,2438856.5,"","","Spain","","P:_'Spain'_can't_verifyB1","Old_(before_year_1479_AD)_Spain","Missing","ptwiki","Europe","grB",NA,NA,NA,NA,0,"D:_P:_ filho_astro_tenente_Portuguese",1197
"Q102851",480,524,NA,"circa","circa",480,480,524,524,"Male","Discovery/Science","Boethius","Southern Europe",480,524,"1.Ancient History Before 500AD","2.Post-Classical History 501-1500AD",195684,"Academia",0.34285715,0.31428573,"Politics","philosopher","1.Ancient History Before 500AD","2.Post-Classical History 501-1500AD",1336566,3,67620,68,63,33.620281,2094,"Old_regimes_in_/_of_Italy","'Ostrogothic_Kingdom'","Italy","","D:_'Ostrogothic_Kingdom'_matchB1_P:_'Italy'","Old_(before_year_1861_AD)_Italy","Missing","enwiki|dewiki|frwiki|eswiki|ruwiki|itwiki|jawiki|nlwiki|plwiki|ptwiki|zhwiki|fawiki|hewiki|trwiki|fiwiki|arwiki|viwiki|nowiki|ukwiki|kowiki|cawiki|cswiki|srwiki|rowiki|idwiki|dawiki|simplewiki|bgwiki|angwiki|astwiki|azwiki|bewiki|be_x_oldwiki|elwiki|eowiki|etwiki|euwiki|glwiki|hywiki|iowiki|iswiki|kkwiki|kywiki|lawiki|ltwiki|lvwiki|mgwiki|mlwiki|ndswiki|nnwiki|ocwiki|pmswiki|scwiki|scnwiki|scowiki|shwiki|skwiki|slwiki|sqwiki|warwiki|fywiki|hiwiki|svwiki|huwiki|swwiki|hrwiki|kawiki|mkwiki","Europe","grA",12.48277759552,9.15499973297119,41.8930549621582,45.1852798461914,1,"D:_philosopher_statesperson_writer_music_music_politician_mathematician_P:_senator_philosopher_emperor_English_philosophe_politique_auteur_French_filosofo_senato_senatore_Italian_gelehrte_politiker_philosoph_German_filósof_poeta_poeta_Spanish_filósof_poeta_estadista_Portuguese_filosof_statsman_patricier_Swedish",502
"Q10312282",NA,760,NA,"","",NA,NA,760,760,"Male","Discovery/Science","João_VI_de_Jerusalém","",691,760,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",3657708,"Academia",0.5,0.5,"Religious","academic","Missing","2.Post-Classical History 501-1500AD",271,2,1381,1,0,13.253523,2816083.5,"","","","","","Missing","Missing","ptwiki","","grB",NA,NA,NA,NA,0,"D:_P:_patriarca_acadêmic_Portuguese",725.5
"Q10312923",NA,1215,NA,"","",NA,NA,1215,1215,"Male","Discovery/Science","Julião_Pais","Southern Europe",1149,1215,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",726130,"Academia",1,NA,"Missing","physician","Missing","2.Post-Classical History 501-1500AD",985,2,1388,1,0,14.538499,2566951.5,"","","Portugal","","P:_'Portugal'_can't_verifyB1","Old_(before_year_1139_AD)_Portugal","Missing","ptwiki","Europe","grB",NA,NA,NA,NA,0,"D:_physician_P:",1182
"Q1031363",300,NA,NA,"","century",300,300,301,500,"Male","Discovery/Science","Eutychianos","",300,353.06146,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",2255718,"Academia",1,NA,"Missing","historian","1.Ancient History Before 500AD","Missing",763,3,1233,1,4,16.063087,1644927.5,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_historian_P:_historiker_German",326.53073
